Year,Kilometer,Length,Fuel Tank Capacity,Max_Power_Value,Max_Power_RPM,Max_Torque_Value,Make_encoded,Fuel_CNG,Fuel_Others,Fuel_Petrol,Transmission_is_Automatic,Volume,Efficiency,Age_Kilometer,Kilometer_per_Year,Power_to_CC,Power_to_Torque,RPM_Ratio,Owner_First_Owner,Owner_Fourth_Plus_Owner,Owner_New,Owner_Second_Owner,Owner_Third_Owner,Seating_2,Seating_4,Seating_6,Seating_7,Seating_8
2014,-0.1578836469382387,-2.0151202275569187,-1.136845946660477,-1.3063349527634347,1.1043686708958005,-1.2663544156137496,-0.98555689465635,0,0,1,0,6503.000601732141,1.149087047898475,-1.7367201163206256,-0.014353058812567154,-1.3063349527634347,-1.3063349527634347,1.1043686708958005,0,0,0,0,1,0,0,0,0,0
2013,1.290117672125514,-0.6555019416984503,-0.4695620479335419,-0.638667494725296,-0.7399729108732509,-0.1780826533443367,-0.6396645235869339,0,0,0,0,430.5823950704765,1.3601344008442693,15.48141206550617,0.10750980601045951,-0.638667494725296,-0.638667494725296,-0.7399729108732509,0,0,0,1,0,0,0,0,0,0
2019,-0.7661597734090454,-0.6555019416984503,-0.4695620479335419,-0.1776590117941991,1.1043686708958005,-0.522762687161874,-0.6396645235869339,0,0,1,1,-45.63470568594772,0.3783504492665974,-4.596958640454273,-0.12769329556817424,-0.1776590117941991,-0.1776590117941991,1.1043686708958005,1,0,0,0,0,0,0,0,0,0
2017,0.96742718703275,1.211707170880513,2.733400665955746,1.1417790600430746,-0.924407069050156,1.8451799044130304,1.6831095393214992,0,0,0,1,4706.428040561129,0.4177137564440617,7.739417496262,0.12092839837909375,1.1417790600430746,0.6187901013404358,-0.924407069050156,1,0,0,0,0,0,0,0,0,0
2016,-0.1882974532617804,-1.1766889512775298,-0.6030188276789289,-0.7658422486373218,1.1043686708958005,-0.9414842429891436,-0.6396645235869339,0,0,1,0,1495.824412056791,1.270013826243393,-1.6946770793560237,-0.020921939251308933,-0.7658422486373218,-0.7658422486373218,0.9308728595980532,0,0,0,1,0,0,0,0,0,0
2014,-0.4011940975265623,-0.6555019416984503,-0.4695620479335419,-0.7340485601593152,1.1043686708958005,-0.9429569877717084,-0.6396645235869339,0,0,1,0,430.5823950704765,1.5632621149637855,-4.413135072792185,-0.036472190684232936,-0.7340485601593152,-0.7340485601593152,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2017,0.8761857680621304,-0.6464378197927272,-0.0024633188246874,-0.4796990523352629,-0.9705156085943822,-0.2845245605704964,-0.1199960092669762,0,0,0,0,-3.74213065462419,194.73689216666367,7.0094861444970435,0.1095232210077663,-0.4796990523352629,-0.4796990523352629,-0.9705156085943822,1,0,0,0,0,0,0,0,0,0
2014,1.5148757008564773,0.7698312279765107,-0.1359200985700744,0.8715327079800194,-0.7399729108732509,0.9788594440807484,1.670286102580891,0,0,0,1,2343.9226328847412,-6.412095908911482,16.66363270942125,0.13771597280513428,0.8715327079800194,0.8715327079800194,-0.7399729108732509,0,0,0,1,0,0,0,0,0,0
2013,0.4199786732090259,0.1942594869630924,-0.1359200985700744,-0.1935558560332027,-0.5555387526963458,-0.3206212464176748,-0.7598816335975614,0,0,1,1,25.100509727176608,1.4240414631057219,5.039744078508311,0.034998222767418825,-0.1935558560332027,-0.1935558560332027,-0.5555387526963458,1,0,0,0,0,0,0,0,0,0
2017,-0.1146352143461653,-1.1766889512775298,-0.6030188276789289,-0.7658422486373218,1.1043686708958005,-0.9414842429891436,-0.6396645235869339,0,0,1,1,1495.824412056791,1.270013826243393,-0.9170817147693224,-0.014329401793270663,-0.7658422486373218,-0.7658422486373218,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2018,0.6632891237973496,0.7902255022643877,0.3311786305387801,0.9351200849360316,-0.7399729108732509,1.123246187469462,1.670286102580891,0,0,0,1,419.2436220501537,2.8236123913391555,4.643023866581447,0.0947555891139071,0.9351200849360316,0.8325156990229758,-0.7399729108732509,1,0,0,0,0,0,0,0,0,0
2018,-0.829602973399951,0.7607671060707876,0.197721850793393,0.1402778729858672,1.4732369872496105,-0.5155433499924383,0.4477814173579392,0,0,1,1,93.54322790429367,0.7094707662455012,-5.807220813799657,-0.11851471048570729,0.1402778729858672,0.1402778729858672,1.2417921327614876,1,0,0,0,0,0,0,0,0,0
2016,-0.2491250659088612,0.3528816203132471,-0.8032039972970094,-0.1935558560332027,1.6576711454265156,-0.7176847907366375,-0.7598816335975614,0,0,1,1,-293.54415124938726,0.24097969716855064,-2.242125593179751,-0.027680562878762353,-0.1935558560332027,-0.1935558560332027,0.9794577238902961,1,0,0,0,0,0,0,0,0,0
2017,-0.8574011923796667,0.3007629193553391,-0.1359200985700744,0.0766904960298526,-1.1088412272270611,0.4013124705258935,1.6831095393214992,0,0,0,1,141.6693434966869,-0.5642321984508742,-6.859209539037334,-0.10717514904745834,0.0766904960298526,0.0766904960298526,-1.1088412272270611,0,0,0,1,0,0,0,0,0,0
2018,-0.3099526785559407,-0.6623000331277427,-1.136845946660477,-0.9566043795053616,-0.7399729108732509,-0.7537814765838159,-0.3477881586160274,0,0,0,0,712.9469851802631,0.8414547127651015,-2.169668749891585,-0.044278954079420105,-0.9566043795053616,-0.9566043795053616,-0.7399729108732509,1,0,0,0,0,0,0,0,0,0
2014,0.6843658915795631,-1.5528500103650391,-1.136845946660477,-1.1314696661343986,1.2888028290727054,-1.208599718258264,-0.98555689465635,1,0,0,0,5691.182027251385,0.9952708803317887,7.528024807375194,0.062215081052687554,-1.1314696661343986,-1.1314696661343986,1.2888028290727054,0,0,0,1,0,0,0,0,0,0
2013,0.1158406099736241,-1.5845744370350705,-1.136845946660477,-0.7976359371153289,1.1043686708958005,-0.950422504338622,-0.6396645235869339,0,0,1,1,3330.82442260811,0.7016218331590232,1.390087319683489,0.009653384164468674,-0.7976359371153289,-0.7976359371153289,0.9308728595980532,1,0,0,0,0,0,0,0,0,0
2010,0.997840993356292,-1.629895046563686,-1.136845946660477,-0.781739092876326,0.3666320381881798,-0.9631422544974508,-0.6396645235869339,0,0,1,0,3426.08974403274,0.6876385451984156,14.96761490034438,0.06652273289041946,-0.781739092876326,-0.781739092876326,0.3090343132711837,0,0,0,1,0,0,0,0,0,0
2018,-0.492435516497183,1.1573224394461743,1.865931597610731,0.7125642655899853,-1.2932753854039662,1.484213045941246,0.4477814173579392,0,0,0,1,1535.732942929344,0.3818812364303184,-3.4470486154802806,-0.070347930928169,0.3797873395395776,0.4800956759803288,-1.2932753854039662,1,0,0,0,0,0,0,0,1,0
2018,0.2374958352677827,0.3166251326903546,-0.1359200985700744,0.0766904960298526,-1.1088412272270611,0.4013124705258935,1.6831095393214992,0,0,0,1,149.14097382396494,-0.5642321984508742,1.6624708468744789,0.0339279764668261,0.0766904960298526,0.0766904960298526,-1.1088412272270611,0,0,0,1,0,0,0,0,0,0
2019,1.1803238312975357,1.1573224394461743,1.865931597610731,0.7125642655899853,-1.2932753854039662,1.2676329308581755,0.4477814173579392,0,0,0,0,1535.732942929344,0.3818812364303184,7.081942987785214,0.1967206385495893,0.3797873395395776,0.5621219268164531,-1.2932753854039662,1,0,0,0,0,0,0,0,1,0
2015,0.6937029301208886,0.3528816203132471,-0.8032039972970094,-0.4796990523352629,-1.1088412272270611,-0.3206212464176748,-0.7598816335975614,0,0,0,0,-293.54415124938726,0.5972319036627993,6.937029301208886,0.06937029301208886,-0.4796990523352629,-0.4796990523352629,-1.1088412272270611,1,0,0,0,0,0,0,0,0,0
2018,-1.2294228713292117,-1.3806316941563002,-0.8032039972970094,-0.8930170025493489,1.1043686708958005,-1.0353356261918076,-0.98555689465635,0,0,1,0,5437.1480095914,1.1118184241544908,-8.605960099304482,-0.17563183876131597,-0.8930170025493489,-0.8930170025493489,1.1043686708958005,1,0,0,0,0,0,0,0,0,0
2018,1.8798413767389577,1.0213606108603277,0.197721850793393,0.6807705771119779,-1.2932753854039662,0.8344727006920346,0.4477814173579392,0,0,0,1,959.227959768971,3.4430720447955987,13.158889637172704,0.2685487681055654,0.3628417236220927,0.6807705771119779,-1.2932753854039662,1,0,0,0,0,0,0,0,1,0
2013,1.301979056591693,0.8400781727458649,0.197721850793393,0.1402778729858672,-0.7399729108732509,0.5456992139146072,-0.3477881586160274,0,0,0,0,2588.003610975981,0.7094707662455012,15.623748679100316,0.10849825471597442,0.1402778729858672,0.1402778729858672,-0.7399729108732509,1,0,0,0,0,0,0,0,1,0
2018,-0.0666422279676194,-1.7885171799138406,-1.3370311162785575,-1.179160198851408,0.6432832754535375,-1.223038392597135,-0.6396645235869339,0,0,1,0,4603.714928854246,0.8819242757292279,-0.46649559577333577,-0.009520318281088486,-1.179160198851408,-1.179160198851408,0.5422237681437597,1,0,0,0,0,0,0,0,0,0
2020,-0.0970560342911588,1.1573224394461743,1.865931597610731,0.7125642655899853,-1.2932753854039662,1.484213045941246,0.4477814173579392,0,0,0,1,1535.732942929344,0.3818812364303184,-0.48528017145579405,-0.01941120685823176,0.3797873395395776,0.4800956759803288,-1.2932753854039662,1,0,0,0,0,0,0,0,1,0
2014,0.328737254238404,0.5568243631920173,0.2644502406660866,0.2833494711368955,1.5654540663380632,-0.4866660013146956,-0.6396645235869339,0,0,1,0,68.2345244557242,1.0714661118220439,3.616109796622444,0.029885204930764,0.2833494711368955,0.2833494711368955,0.8810620810249051,1,0,0,0,0,0,0,0,0,0
2020,-0.3573678026143401,-1.3806316941563002,-0.8032039972970094,-0.8930170025493489,1.1043686708958005,-1.0353356261918076,-0.98555689465635,0,0,1,0,5437.1480095914,1.1118184241544908,-1.7868390130717005,-0.07147356052286802,-0.8930170025493489,-0.8930170025493489,1.1043686708958005,1,0,0,0,0,0,0,0,0,0
2021,-1.0398840303209091,0.8468762641751573,0.9317341393930216,0.9987074618920448,-0.924407069050156,1.123246187469462,1.6831095393214992,0,0,0,1,1396.5105839363127,1.0718802925292112,-4.159536121283637,-0.2599710075802273,0.9987074618920448,0.8891260642887311,-0.924407069050156,1,0,0,0,0,0,0,0,0,0
2011,0.2679096415913234,0.9443155746616808,0.7315489697749411,0.7602547983069944,-0.5555387526963458,0.9788594440807484,1.2123767407821522,0,0,0,1,661.9425708402316,1.0392397907974424,3.750734982278528,0.019136402970808816,0.7602547983069944,0.7602547983069944,-0.5555387526963458,1,0,0,0,0,0,0,0,0,0
2017,0.8153581554150497,0.3528816203132471,-0.4695620479335419,-0.0504842578821734,-0.7399729108732509,0.1125389837484661,-0.6396645235869339,0,0,0,1,-148.08910442131773,0.10751349710724183,6.522865243320398,0.10191976942688122,-0.0504842578821734,-0.0504842578821734,-0.7399729108732509,1,0,0,0,0,0,0,0,0,0
